,method,Output,nCell,Batch_ASW_batch,Batch_ASW_site,graph_connectivity,graph_connectivity.l1,graph_iLISI,ARI,ARI.l1,AMI,AMI.l1,graph_cLISI,graph_cLISI.l1,isolated_labels_ASW,isolated_labels_ASW.l1
34,scMDC-louvain,Embedding,9026.0,0.8632349769585269,0.8480685559473882,0.9034496118603182,0.9480870032943496,0.1987406042574088,0.4345296666047862,0.4127611516006946,0.7333504109337731,0.6877675800033332,0.9933045904206882,0.9984730804440312,0.6524688800175985,0.6332063244655728
35,totalVI_batch-louvain,Embedding,9026.0,0.889074898957583,0.9229798159101276,0.9164936832946624,0.9211833234345668,0.405388996431205,0.6828069633018083,0.5753160462425391,0.7704479952401913,0.712428614185107,0.990783075900896,0.9963028231608316,0.5444184268514315,0.5505646059988066
36,totalVI-louvain,Embedding,9026.0,0.8532169876040069,0.8289582832520636,0.8938994205063466,0.951721576984953,0.1073254251611675,0.369457536093137,0.324184059894901,0.6512701968707637,0.6291140239073558,0.9882191837258152,0.9951724713049952,0.572679877281189,0.5466659370809793
37,bindSC-louvain,Embedding,9026.0,0.904890421759122,0.8681516998284063,0.91179588613454,0.9535919502759412,0.1895885304943763,0.5579228725201157,0.5030685353734485,0.7420671599894423,0.7136028809273491,0.9884747820252624,0.9967870407742244,0.585312028725942,0.5761032927781343
38,CiteFuse,Graph,9026.0,,,1.0,1.0,0.1151843738661829,0.0,0.0,-1.616198915343812e-15,-2.287717763707675e-12,0.9468979065491638,0.776944466694517,,
39,MaxFuse-louvain,Embedding,9026.0,0.8984898442816003,0.9004363605001916,0.936870511177024,0.95417691759384,0.2663580248808107,0.4706774352595172,0.4529957254980694,0.7317977131995155,0.6964051148882312,0.9880823449719208,0.994735876862598,0.5507306208213171,0.5474746352992952
40,MOFA2-louvain,Embedding,9026.0,0.8439244694525199,0.8395773321520797,0.814652491577573,0.8865901823968827,0.1774295396036516,0.3597786394926099,0.3312923277501067,0.6647742588003892,0.6357901393122998,0.9856445682276072,0.996131982334851,0.6084775726000468,0.5477508861571551
41,multigrate_batch-louvain,Embedding,9026.0,0.8293475123518206,0.9077418883624911,0.854519560720303,0.8954617234103525,0.430067789523871,0.4951119343526531,0.4684574157570371,0.7447198163352268,0.696976269187548,0.9893439601662244,0.9962710064442184,0.6205383688211441,0.5991512261331081
42,multigrate-louvain,Embedding,9026.0,0.8465469314332015,0.8654011538095111,0.7545501734680463,0.8811620732151336,0.2241968103441277,0.3213863608255105,0.2967635745947414,0.6560544717813995,0.6230557178313483,0.9858744844274392,0.994862187196456,0.6173520758748055,0.5939002587459982
43,SCALEX-louvain,Embedding,9026.0,0.872642774513055,0.8820990099829309,0.8769994651436049,0.9213132437256232,0.3010627378141999,0.4361857533592316,0.4677227475451552,0.7092579832564003,0.6972209045816784,0.9859104043447277,0.9935786740629804,0.5939684137701988,0.5793966454453766
44,sciPENN_batch,Embedding,9026.0,0.928363761519184,0.951089632846113,0.445867449910468,0.6829570168811389,0.4537081979556194,0.201283931755928,0.2453202991932516,0.3244257366463991,0.3334221551558899,0.9613402828290248,0.8625075791633122,0.4763861012955506,0.4558185019530356
45,sciPENN-louvain,Embedding,9026.0,0.944648187080464,0.9578026793314276,0.7399716586269703,0.8783914844367455,0.48856415383512,0.587233862034379,0.6231308665491012,0.6602054682686473,0.6741404179378716,0.9603345319626012,0.9173467577155984,0.4937028962497909,0.4952966616721824
46,scMDC-louvain,Embedding,9026.0,0.843049419362008,0.8251029686041432,0.931215072304542,0.9136912372964991,0.1914190808467097,0.3704546146233423,0.3944492436915169,0.7088301403208469,0.6827862589669804,0.9924732540091412,0.9987305247236264,0.6252962052822113,0.6240679774433374
47,totalVI_batch-louvain,Embedding,9026.0,0.8806327595267729,0.9238406996652372,0.9098805917399756,0.9249904967158628,0.4011685093974751,0.6140113901536881,0.5687542632559789,0.7817886273682795,0.7451749170150875,0.9915322836028092,0.9967010597238742,0.5551916286349297,0.554468337027356
48,totalVI-louvain,Embedding,9026.0,0.8499094350619391,0.8207238204876156,0.8992298761304908,0.9203873283909338,0.1062862865680557,0.3688922329520808,0.3187715495313832,0.6513493286499906,0.6220050370415867,0.9867600821280208,0.994825642380516,0.5953413819273313,0.5473671183921397
49,bindSC-louvain,Embedding,9026.0,0.904890421759122,0.8681516998284063,0.91179588613454,0.9535919502759412,0.1895885304943763,0.5579228725201157,0.5030685353734485,0.7420671599894423,0.7136028809273491,0.9884747820252624,0.9967870407742244,0.585312028725942,0.5761032927781343
50,CiteFuse,Graph,9026.0,,,1.0,1.0,0.1151843738661829,0.0,0.0,-1.616198915343812e-15,-2.287717763707675e-12,0.9468979065491638,0.776944466694517,,
51,MaxFuse-louvain,Embedding,9026.0,0.9009903697610776,0.8953681656896157,0.9339034671762584,0.947920850760873,0.2570334858434607,0.4730133329723366,0.4801774831776617,0.7299979519935247,0.7163766291844359,0.9869019226257546,0.9935242795483612,0.5648083239793777,0.5457744761370122
52,MOFA2-louvain,Embedding,9026.0,0.8439244694525199,0.8395773321520797,0.814652491577573,0.8865901823968827,0.1774295396036516,0.3597786394926099,0.3312923277501067,0.6647742588003892,0.6357901393122998,0.9856445682276072,0.996131982334851,0.6084775726000468,0.5477508861571551
53,multigrate_batch-louvain,Embedding,9026.0,0.8293475123518206,0.9077418883624911,0.854519560720303,0.8954617234103525,0.430067789523871,0.4951119343526531,0.4684574157570371,0.7447198163352268,0.696976269187548,0.9893439601662244,0.9962710064442184,0.6205383688211441,0.5991512261331081
54,multigrate-louvain,Embedding,9026.0,0.8465469314332015,0.8654011538095111,0.7545501734680463,0.8811620732151336,0.2241968103441277,0.3213863608255105,0.2967635745947414,0.6560544717813995,0.6230557178313483,0.9858744844274392,0.994862187196456,0.6173520758748055,0.5939002587459982
55,SCALEX-louvain,Embedding,9026.0,0.872642774513055,0.8820990099829309,0.8769994651436049,0.9213132437256232,0.3010627378141999,0.4361857533592316,0.4677227475451552,0.7092579832564003,0.6972209045816784,0.9859104043447277,0.9935786740629804,0.5939684137701988,0.5793966454453766
56,sciPENN_batch,Embedding,9026.0,0.9190722340233802,0.9460946407597042,0.4506155085851067,0.6800212791697714,0.4308820648573748,0.1776893108515392,0.2084798304305108,0.3175895420851816,0.3146402074784066,0.9679569917689164,0.8901597817533502,0.4618772591153781,0.4521843882277608
57,sciPENN-louvain,Embedding,9026.0,0.944929312481069,0.957331323449634,0.7419817826146998,0.9014638903649164,0.4850830960870832,0.5933177607705017,0.6497421502444717,0.66388564686467,0.6967936038287309,0.9608362076602494,0.9228700146604718,0.5027155419811606,0.497690757503733
58,scMDC-louvain,Embedding,9026.0,0.8588001736188954,0.8467273730085388,0.9185113427605448,0.8845918376563997,0.1629402054203131,0.4065710724397008,0.433707363011749,0.7257360586857002,0.7027219643467263,0.9910259496446971,0.9985433754287258,0.6429519553979238,0.6231939572840929
59,totalVI_batch-louvain,Embedding,9026.0,0.8816316775497571,0.9245013634236896,0.91669932698433,0.9226671173480532,0.3991205099579279,0.6025797317655474,0.5265462785391904,0.7797155676979507,0.7238804845364162,0.9899101217416714,0.9974423388462992,0.5317918173968792,0.5547215830534696
60,totalVI-louvain,Embedding,9026.0,0.8578920955462107,0.8135725065262095,0.8766059905119876,0.9369206417399276,0.1029781139657304,0.3802887636793168,0.3346074829565285,0.6411800001646585,0.6233483975035825,0.9867319770001688,0.9942569872874256,0.6200012465318044,0.5439333934569731
61,SeuratV4,Graph,9026.0,,,0.9126293477213828,0.9596330451138811,0.1455440368974063,0.4064528019937985,0.3795469865678652,0.6801736731072154,0.649600361707466,0.9871166523004514,0.99599972222116,,
62,SeuratV4,Graph,9026.0,,,0.9126293477213828,0.9596330451138811,0.1455440368974063,0.4064528019937985,0.3795469865678652,0.6801736731072154,0.649600361707466,0.9871166523004514,0.99599972222116,,
63,SeuratV4,Graph,9026.0,,,0.9126293477213828,0.9596330451138811,0.1455440368974063,0.4064528019937985,0.3795469865678652,0.6801736731072154,0.649600361707466,0.9871166523004514,0.99599972222116,,
64,SeuratV4,Graph,9026.0,,,0.9126293477213828,0.9596330451138811,0.1455440368974063,0.4064528019937985,0.3795469865678652,0.6801736731072154,0.649600361707466,0.9871166523004514,0.99599972222116,,
