,method,Output,nCell,Batch_ASW_batch,Batch_ASW_site,graph_connectivity,graph_connectivity.l1,graph_iLISI,ARI,ARI.l1,AMI,AMI.l1,graph_cLISI,graph_cLISI.l1,isolated_labels_ASW,isolated_labels_ASW.l1,RNA,ATAC
80,scMVAE-louvain,Embedding,6924.0,0.9002826964828599,0.8975065636178263,0.9241412591652494,0.9710292546869,0.3286254146412046,0.3301091050986669,0.4504324255948336,0.5001621086104843,0.5469432589581539,0.9112425828686576,0.8610027154627546,0.613443948328495,0.5793696865439415,R10,A10
81,scMVP-louvain,Embedding,6924.0,0.9389374835154496,0.9388941857079,0.9069366379489524,0.9148814363719802,0.3864470708968845,0.4702403328574701,0.6063646318274256,0.6322428577885845,0.6941570361173358,0.9274614733797084,0.8912446883700366,0.4840873181819916,0.4662664420902729,R10,A10
82,SeuratV4,Graph,6924.0,,,0.8982252926389254,0.9004319429650922,0.3473687114150428,0.5120975043009544,0.5272027378228986,0.6313566855120109,0.6243931530762566,0.957658637495204,0.9517922712431464,,,R10,A10
83,uniPort-louvain,Embedding,6924.0,0.9116035640523944,0.967610109174984,0.2876500130035926,0.7106805660347133,0.5518997695297174,0.0036727381944678,0.0052334830432258,0.0041408494514453,0.0054655390083733,0.6872730301871737,0.4375938171626637,0.4172627255320549,0.4288153052330017,R10,A10
84,cobolt-louvain,Embedding,6924.0,0.7891815875469448,0.8580773145741378,0.8462237424309016,0.8742318283593226,0.3391386788655577,0.3249505105097752,0.3485485565193994,0.558329949244433,0.5641539334640927,0.9507346297610548,0.9521560374600332,0.374761089682579,0.5861999988555908,R25,A100
85,DCCA-louvain,Embedding,6924.0,0.8451899551858506,0.8566460613929682,0.9278333637766046,0.9562442117946204,0.2946152844748719,0.4083981136767116,0.4218165654068391,0.6007912296510811,0.5901395554707699,0.9600143613973304,0.9653184532891382,0.5686036497354507,0.5764114335179329,R25,A100
86,MOFA2-louvain,Embedding,6924.0,0.8570179020644272,0.8693393394875053,0.9318026835472918,0.956615869841941,0.2635247823300979,0.376296882972323,0.3642821689828444,0.6075957447428127,0.5879187864643522,0.9659546364666192,0.968535858587404,0.5454295985400677,0.6025713831186295,R25,A100
87,multigrate_batch-louvain,Embedding,6924.0,0.8512684479428435,0.9328216223494016,0.8652545950658749,0.8928946890193568,0.4412404498858106,0.4220725635336413,0.4555727886458557,0.6258547939001822,0.6316090659027327,0.961705672217055,0.9677163095540428,0.4088665768504143,0.4395498409867286,R25,A100
88,multigrate-louvain,Embedding,6924.0,0.8262583043898457,0.9240408986105672,0.889389098677744,0.9172397656437208,0.3938769354156599,0.4080364839369747,0.4206872559514324,0.6211271128629396,0.6142196002434953,0.9580975102679395,0.9604945895099362,0.451022919267416,0.4821832031011581,R25,A100
89,multivi_batch-louvain,Embedding,6924.0,0.7648815770784473,0.8837311584306873,0.8638907319365149,0.943382163344746,0.3447519837922355,0.2993172919512032,0.3243963373311432,0.5532420237892725,0.5516494976230225,0.9485670471822216,0.9294118756073676,0.4165058210492134,0.5539515316486359,R25,A100
90,multivi-louvain,Embedding,6924.0,0.7713002031814824,0.8545633106516215,0.8241331364663231,0.8877824950356068,0.332405373665567,0.2549577765636559,0.2671058765174062,0.5329648076582725,0.532072679081391,0.951061540695362,0.9360747432013554,0.4316862598061561,0.5529753267765045,R25,A100
91,scAI-louvain,Embedding,6924.0,0.9041136271743574,0.8975590444777946,0.93124303317593,0.940028522164439,0.258777476353943,0.4602802583897876,0.5278217857723606,0.6012829865463728,0.6176085865671106,0.948473172662712,0.9425105883247747,0.6216121688485146,0.531446386128664,R25,A100
92,scDEC-louvain,Embedding,6924.0,0.8507969512568326,0.8944298645552005,0.826088107727374,0.8699491472791473,0.2771248600245986,0.3557684463013892,0.40880985729378,0.5676182940895046,0.5754550558532413,0.9470239638129194,0.930240477472916,0.4208576902747154,0.5229968316853046,R25,A100
93,scMDC-louvain,Embedding,6924.0,0.8904346447718765,0.9280446641015424,0.8598164946874346,0.8041336611706177,0.3419590009266285,0.6010186577835638,0.5756273736462985,0.7182852584320281,0.6879931130371625,0.9717026124030758,0.9764399534382322,0.186652660369873,0.5254481788724661,R25,A100
94,scMVAE-louvain,Embedding,6924.0,0.8931988064637254,0.8814020016463052,0.9584086056697124,0.9778523457984846,0.280640409862838,0.3646661705009421,0.4443988526313543,0.5409851512631811,0.5834425913580671,0.9306011629879378,0.8989815098910166,0.6674941629171371,0.6023531630635262,R25,A100
95,scMVP-louvain,Embedding,6924.0,0.9270558670731512,0.9108423967018772,0.9562684779579282,0.9681852790146852,0.2809121491689021,0.5432897133866351,0.6336502532679327,0.695710904984362,0.705108424243156,0.9633249813677944,0.967555272063179,0.5603055953979492,0.4949043020606041,R25,A100
96,SeuratV4,Graph,6924.0,,,0.9794136684769356,0.971908914270318,0.3086085229709348,0.6020879456463482,0.5115329924980019,0.734529096384409,0.6819634699696875,0.9845559845559846,0.9860343984780487,,,R25,A100
97,uniPort-louvain,Embedding,6924.0,0.859474583963344,0.9289568911600264,0.3097411221890414,0.6816947341867434,0.544388822986016,0.0224883003373022,0.0312731631440732,0.0553919897299159,0.0575753111662737,0.713025113356047,0.4979741740997649,0.4294628128409385,0.4267265871167183,R25,A100
98,cobolt-louvain,Embedding,6924.0,0.7895222190070821,0.8291105013516702,0.8425752947557935,0.9093044806643048,0.329238607295756,0.3269681886219152,0.3598715053022199,0.5267464350617789,0.5455910919217901,0.9395210408803912,0.92826690209527,0.3518503159284591,0.4931234382092953,R25,A25
99,DCCA-louvain,Embedding,6924.0,0.8459338383265528,0.8822922126232431,0.9148165777574284,0.9553684608412732,0.3108706099297021,0.5000768668472094,0.4823378756999173,0.65213293200115,0.6257332745460913,0.9663180456219292,0.9679295702321398,0.5025674179196358,0.5473600849509239,R25,A25
100,MOFA2-louvain,Embedding,6924.0,0.8349087107426794,0.846566206986091,0.9287532028048878,0.9603472767555804,0.295224098951136,0.3063166810795983,0.3296504597025013,0.558176272888227,0.5616221277690414,0.9575729817979828,0.9622941265402548,0.5252425521612167,0.6298350244760513,R25,A25
101,multigrate_batch-louvain,Embedding,6924.0,0.87754755126185,0.949404485241484,0.8725485571494133,0.8983006092928834,0.4479747036793218,0.4177305749481177,0.4712495712464515,0.6368328236885658,0.6461358620147055,0.9599272528392055,0.9644171579105444,0.4307028874754905,0.4694756828248501,R25,A25
102,multigrate-louvain,Embedding,6924.0,0.8772218725648291,0.93095368071059,0.8545063592901635,0.901769465723012,0.3841289718996128,0.4103376988766378,0.4487214353118027,0.6251282640733071,0.6325136082036533,0.9521401983956248,0.945872230693262,0.3468485325574875,0.4865769073367119,R25,A25
103,multivi_batch-louvain,Embedding,6924.0,0.787328413384612,0.8947010292014546,0.7459017580146781,0.8727650994162193,0.3552219993017629,0.2745565235706205,0.3101567453833905,0.5191682617038289,0.5293608330998579,0.9309268192556288,0.9064476657400372,0.3104013204574585,0.4856664631515741,R25,A25
