,method,Output,nCell,Batch_ASW_batch,Batch_ASW_site,graph_connectivity,graph_connectivity.l1,graph_iLISI,ARI,ARI.l1,AMI,AMI.l1,graph_cLISI,graph_cLISI.l1,isolated_labels_ASW,isolated_labels_ASW.l1,RNA,ADT
83,multigrate-louvain,Embedding,9026.0,0.8417747205693229,0.8404157528648383,0.7589837648892733,0.8825096114229651,0.222158664355608,0.3243815189095315,0.304844165435348,0.647214021510152,0.6292083964778649,0.9838099738768086,0.9923809442315727,0.580220897992452,0.5768150636926294,R10,A10
84,SCALEX-louvain,Embedding,9026.0,0.901011627042976,0.9013485170099697,0.7896129829049148,0.9039715957405068,0.27677926637996,0.5092397039496781,0.560120717843226,0.6649679817125944,0.7010170764696897,0.9757279656098892,0.9860622928039214,0.5201329787572225,0.5665690409950912,R10,A10
85,sciPENN_batch-louvain,Embedding,9026.0,0.9289419724510078,0.961765622210014,0.3825754256663212,0.7359291402336919,0.489920938177659,0.1480386196064388,0.2016173115442636,0.1700175528983726,0.1999781456456543,0.887767397418513,0.6556064860190879,0.4725293541948001,0.4675781421363353,R10,A10
86,sciPENN-louvain,Embedding,9026.0,0.946941189735432,0.9738678384299,0.3849212747277689,0.7140446211088554,0.5013095976920919,0.1868203296021452,0.2330075478019938,0.1651051733327452,0.1907579525555181,0.8925579997477285,0.6720718192757402,0.4479916815956433,0.4632206134498119,R10,A10
87,scMDC-louvain,Embedding,9026.0,0.8654672803868195,0.8887714535597493,0.871582681778789,0.914097233044698,0.283059768973594,0.4802987664743347,0.4878391679916121,0.7169944666412208,0.6993504616340295,0.987969996439902,0.997125567610265,0.5080786123871803,0.5758953291922808,R10,A10
88,SeuratV4,Graph,9026.0,,,0.854015523238614,0.971372097486938,0.1911994612687604,0.5130886073062282,0.4662516308763018,0.6607163065290201,0.6527445376933466,0.9796524339466712,0.9881665898263408,,,R10,A10
89,totalVI_batch-louvain,Embedding,9026.0,0.9036507719958028,0.9312517150193927,0.8624447229498413,0.9459124950608212,0.4304372225221247,0.6020276682130117,0.5677925301165885,0.716765537219832,0.6941100287984163,0.9792131000572076,0.9822580393151484,0.5126623722414175,0.5347871864913032,R10,A10
90,totalVI-louvain,Embedding,9026.0,0.9061179761594876,0.900742242921166,0.8796045561395385,0.948198752967428,0.2064842471334788,0.524899618867033,0.5011833181008839,0.6671566904791011,0.6604220224089388,0.9790494522901134,0.9816963747831624,0.5060748383402824,0.5295129658770747,R10,A10
91,bindSC-louvain,Embedding,9026.0,0.9172510901106832,0.8949362431071843,0.904451195460764,0.94732409165256,0.214640453535352,0.5094014679292868,0.4782766787899977,0.7198671731369594,0.7055592819895711,0.9852292175256864,0.9945348932513808,0.5758201256394386,0.5691750423051417,R25,A100
92,CiteFuse,Graph,9026.0,,,1.0,1.0,0.1047758394192535,0.0,0.0,-1.616198915343812e-15,-2.287717763707675e-12,0.956350512011792,0.8023518801874174,,,R25,A100
93,MaxFuse-louvain,Embedding,9026.0,0.9105270950627296,0.9137243049268028,0.9164532322246672,0.9433851528828604,0.3101285163005504,0.5314234864991371,0.602377586116468,0.7335713320760322,0.741748925244101,0.98316385625416,0.9922529384081736,0.5382243320345879,0.5336890926584601,R25,A100
94,MOFA2-louvain,Embedding,9026.0,0.8564248204980666,0.7996407167870088,0.8167639415655034,0.934007576306205,0.1295249278005017,0.3891947470087417,0.3422349845949979,0.6752119547660363,0.6497133546910532,0.9882662293484604,0.9955181916165656,0.607521173854669,0.5634416899643838,R25,A100
95,multigrate_batch-louvain,Embedding,9026.0,0.8367632184653803,0.9055816622880212,0.8549388524314954,0.9293076261919992,0.4217011556505456,0.5498441638510072,0.4923926216586546,0.7574751727302079,0.7171833166653891,0.9905331464612032,0.9988859941509182,0.630338524778684,0.6132597434334457,R25,A100
96,multigrate-louvain,Embedding,9026.0,0.8346357538669991,0.831258522174506,0.7824411529943052,0.8977585466487537,0.174439596945971,0.3211474725004738,0.2970874499167893,0.6436678416387817,0.617175571787545,0.9859346295381728,0.9951066334230114,0.6654322445392609,0.5880546511150897,R25,A100
97,SCALEX-louvain,Embedding,9026.0,0.845918896952999,0.8905644352513851,0.8158093151740492,0.9036465128754296,0.3366545164318715,0.4374042317936419,0.5086255098930819,0.6804025880535509,0.7030640475262749,0.9782688177696496,0.9881160339965868,0.4895075683792432,0.5747303305193782,R25,A100
98,sciPENN_batch-louvain,Embedding,9026.0,0.963501674890099,0.9780758159946448,0.500894640382554,0.7946512695293096,0.484219816774066,0.3645201421532165,0.4134488190307211,0.3584413671012558,0.3945254261648092,0.8986563423392849,0.7294044974694152,0.4612387207647164,0.4743698733858764,R25,A100
99,sciPENN-louvain,Embedding,9026.0,0.9464260224299228,0.968686474093884,0.4844700573004584,0.7840084220466419,0.5115923875345408,0.3196111740850839,0.3902367146468617,0.3435898215281191,0.3886729018056118,0.9002358762601599,0.723150646280791,0.4580518243213494,0.4688898792490363,R25,A100
100,scMDC-louvain,Embedding,9026.0,0.8649712560576605,0.8409991218856716,0.859734955922529,0.79808243637513,0.1773129192875843,0.3936152734567681,0.4199229325732027,0.6904297953924411,0.6735366335049655,0.9886257960141576,0.9982851060065886,0.7213166753451029,0.6007797948084772,R25,A100
101,SeuratV4,Graph,9026.0,,,0.8846758969075763,0.9364200562098964,0.1381508503994329,0.3935897838002771,0.3721641491953883,0.6648249867428636,0.6492409206893204,0.984901018727246,0.9929733096735136,,,R25,A100
102,totalVI_batch-louvain,Embedding,9026.0,0.8937149841247513,0.9240428241059728,0.9080250488169296,0.929696723318252,0.4038271674382254,0.7109337415956172,0.6510281841696869,0.7818744352405207,0.7506489644553038,0.987532696302938,0.9934396055590504,0.5580895931149522,0.5448523366823792,R25,A100
103,totalVI-louvain,Embedding,9026.0,0.8630627344233404,0.8261637223829463,0.900902537874235,0.9331619261090408,0.1074883058165316,0.3755978247857781,0.360348785528345,0.6324003805407172,0.6339797546574125,0.9861651634714872,0.9939655709140416,0.5932698597510656,0.5400093676522374,R25,A100
104,bindSC-louvain,Embedding,9026.0,0.9176353354784128,0.903996542169495,0.8846293951006156,0.9160599181557764,0.2756315924458838,0.4908036613599505,0.4894558080905435,0.7213227592772743,0.7134795886984507,0.9839255265481482,0.9933715777280968,0.5545738885800043,0.5615670110099018,R25,A25
105,CiteFuse,Graph,9026.0,,,1.0,1.0,0.099243649816256,0.0,0.0,-1.616198915343812e-15,-2.287717763707675e-12,0.9578677608472872,0.8268483683350386,,,R25,A25
106,MaxFuse-louvain,Embedding,9026.0,0.905053430072552,0.9118636368815788,0.8984934469553004,0.9359704718497366,0.3496933256136717,0.535480048885295,0.5354629321486047,0.7243028019330281,0.7063705824022289,0.9828384888741776,0.9870615471827932,0.5351677667349577,0.5334325931034982,R25,A25
107,MOFA2-louvain,Embedding,9026.0,0.8441255606700176,0.8345639585165477,0.8068457905629656,0.8825047534209203,0.1372240454943696,0.3653177507023548,0.3221202377106636,0.638211030742803,0.6200702083671077,0.9843821910543292,0.9915462951431115,0.6187504182259241,0.5428449165076017,R25,A25
108,multigrate_batch-louvain,Embedding,9026.0,0.837221783128993,0.9066467566370716,0.8277728567231304,0.901118717319353,0.435903966432101,0.492501959525437,0.4688102922193064,0.7378852726356049,0.7009884714169063,0.9881189854862864,0.9967103868889192,0.6448395599921545,0.5916283667087555,R25,A25
109,multigrate-louvain,Embedding,9026.0,0.8578868095774317,0.8559039248478613,0.7942225213800136,0.8818453957337811,0.2057909725163219,0.3644344947962192,0.3355824017534052,0.6590245753700883,0.6273691606021609,0.9864698409125096,0.9948696881890428,0.615045969064037,0.5769530147314071,R25,A25
110,SCALEX-louvain,Embedding,9026.0,0.8901698276020923,0.8969513397196321,0.8220542694555159,0.8896970884048828,0.2772879750592716,0.4701859439582003,0.5076433965630412,0.6815334571952079,0.6856579915518194,0.978225252181994,0.9911161233289624,0.4612253506978352,0.574433027417399,R25,A25
111,sciPENN_batch-louvain,Embedding,9026.0,0.9555947813689784,0.972753129689907,0.4900260879420648,0.78914989521694,0.490622317961104,0.3516610126535056,0.4412772998708136,0.3911186365148406,0.4385410652206568,0.90754911674824,0.7371247388893493,0.4480665065348148,0.4726032949984073,R25,A25
112,sciPENN-louvain,Embedding,9026.0,0.9440995078051666,0.9615805264567268,0.4727111728665831,0.7981044609941662,0.4992974822682799,0.3012680924225661,0.3770888891550958,0.3346944791650515,0.3728963255602143,0.9008792996584848,0.7226353574813595,0.462720051407814,0.4688093414064497,R25,A25
113,scMDC-louvain,Embedding,9026.0,0.8838759935552029,0.8684326930367068,0.9018681299666134,0.7882685354706643,0.2011469513473247,0.4192830038267378,0.4349736637781649,0.7159174212381001,0.6931144498408796,0.9911161928267322,0.9987311234881716,0.6009530276060104,0.6186749963089824,R25,A25
114,SeuratV4,Graph,9026.0,,,0.879498742303263,0.930250901271126,0.1660512827370495,0.386706155809304,0.3670729239334595,0.6615151910907127,0.6415952595338028,0.984268140272122,0.9920643001126436,,,R25,A25
115,totalVI_batch-louvain,Embedding,9026.0,0.8970998943984475,0.9263146212822592,0.90921024070149,0.948579204093113,0.4246924158958686,0.6891683606720713,0.6195188733028499,0.7560433012636383,0.7146570544218995,0.9869063185576205,0.9917818208337152,0.5411976569642624,0.5384595220908522,R25,A25
116,totalVI-louvain,Embedding,9026.0,0.8952724544557952,0.8677866264284273,0.8928132602663899,0.9342992734666298,0.1390371066303964,0.372885977884517,0.356263817717199,0.6447559838977395,0.6314072738690967,0.9837332282378548,0.9890447180066616,0.5733176544308662,0.5319594485219568,R25,A25
117,bindSC-louvain,Embedding,9026.0,0.9055764886449942,0.8785115381119016,0.8868884140304459,0.9532302096042488,0.2024556734472888,0.5199183081433509,0.4795536206656016,0.7287936880603968,0.7083588442475331,0.9862146975004822,0.9953196023979286,0.5938284347454706,0.5739339889958501,R50,A100
118,CiteFuse,Graph,9026.0,,,1.0,1.0,0.1453623165238112,0.0,0.0,-1.616198915343812e-15,-2.287717763707675e-12,0.9511971828444402,0.7935441630704296,,,R50,A100
119,MaxFuse-louvain,Embedding,9026.0,0.906582132467958,0.9118446205883344,0.9254343556328354,0.9514152734446244,0.2838192839074018,0.4750868178701046,0.4538508059703687,0.7230168813896554,0.6871946166315609,0.985958734062567,0.9909195340587008,0.561556413769722,0.5393139468505979,R50,A100
120,MOFA2-louvain,Embedding,9026.0,0.8496106454007282,0.8022057797382839,0.7859489832873082,0.897631579623251,0.1265772977050179,0.3236705412367258,0.2851137565568933,0.6434542228190594,0.6172270325589841,0.9841740480768738,0.9935004656030468,0.6557871500651041,0.5527142411097884,R50,A100
121,multigrate_batch-louvain,Embedding,9026.0,0.8352004442193158,0.9119432808993287,0.8424899967464133,0.8986847875697433,0.428364263245397,0.4958103799129938,0.436040834235406,0.7330975896283595,0.6776937747212177,0.9851560775446624,0.995070527145812,0.5487500211844841,0.5944432899355888,R50,A100
122,multigrate-louvain,Embedding,9026.0,0.8607529783561293,0.8639552532552885,0.7846612050457517,0.8919430527955445,0.2106418378223262,0.3697992611259553,0.3296090810816062,0.6795835964686138,0.6429054277100064,0.9851980044879076,0.9932514976187712,0.6902268826961517,0.5904061766341329,R50,A100
123,SCALEX-louvain,Embedding,9026.0,0.8648348020136101,0.8951467589549038,0.8550083462010979,0.9138104509504807,0.3304784609250137,0.4497511717015702,0.5217764854853801,0.7084912309034701,0.7039099266254079,0.9820554287393828,0.992431164134802,0.5980659822622935,0.5784350962378084,R50,A100
124,sciPENN_batch-louvain,Embedding,9026.0,0.9496710636244258,0.973583403537878,0.6126761696429885,0.8406490801340161,0.4936692753635617,0.4389741877776906,0.5681678358490595,0.5118456181563277,0.5726908928968274,0.9238349836213774,0.817512866409454,0.485143036271135,0.4804959949105978,R50,A100
125,sciPENN-louvain,Embedding,9026.0,0.9573116503264928,0.9745545609927648,0.6000326269965588,0.8297625095055603,0.5014686640130157,0.4195043741009438,0.5336765217687685,0.4906906400684135,0.548936607596746,0.9197178223361564,0.7912783539821611,0.4855247152348359,0.4756004973314702,R50,A100
126,scMDC-louvain,Embedding,9026.0,0.8678545372465475,0.837031384813837,0.887598761889209,0.7965821339876633,0.1731899736457126,0.4247064788424187,0.406335810726307,0.7195210114414134,0.6837709331155537,0.9901071505306548,0.9987099601291156,0.6291961769262949,0.616731521487236,R50,A100
127,SeuratV4,Graph,9026.0,,,0.9191259799021144,0.9392205414230788,0.1397772167115353,0.3967573171108421,0.3565144641411948,0.6720970567834484,0.6471415418188848,0.9863328943271,0.994825245933252,,,R50,A100
128,totalVI_batch-louvain,Embedding,9026.0,0.8851844894297249,0.9233466986488238,0.9211295561268548,0.9236221705876836,0.4048726918643906,0.6580589790329934,0.6062578179805281,0.7836371376966303,0.7512836939889974,0.9911770538617264,0.9961973855279724,0.5120650554696718,0.5464003732427954,R50,A100
129,totalVI-louvain,Embedding,9026.0,0.8569398184792207,0.8277656202640976,0.9133008960446978,0.9525346710931062,0.1125199421560232,0.3835158621422064,0.343321193962709,0.6442470733350633,0.6259441636468079,0.9870057271774272,0.9930541188107592,0.5696230319639047,0.536784702539444,R50,A100
130,bindSC-louvain,Embedding,9026.0,0.9035792468786428,0.8873226130565657,0.9057413987817228,0.927488159564492,0.2298775566590729,0.5173167963662079,0.488718145453909,0.7231409023821554,0.7037972067782826,0.9859738478073856,0.9953512283714724,0.5889523799220721,0.5706744939088821,R50,A50
131,CiteFuse,Graph,9026.0,,,1.0,1.0,0.1043375563316972,0.0,0.0,-1.616198915343812e-15,-2.287717763707675e-12,0.9539173554532449,0.7926778992257528,,,R50,A50
132,MaxFuse-louvain,Embedding,9026.0,0.905074326547311,0.9118416617399524,0.931267215705946,0.9513052738989026,0.3116422065156792,0.5409837609896374,0.525778680994328,0.7397400364970322,0.7169145116609098,0.9858755792111118,0.9922658606098164,0.5581418933967749,0.5385681638494134,R50,A50
133,MOFA2-louvain,Embedding,9026.0,0.8482806814293112,0.8102804508406592,0.8063423180388622,0.9107231400580448,0.1312954738152867,0.4350610849551288,0.3685823080664711,0.663220551163252,0.6381438302632386,0.9845272874528088,0.9937594200017964,0.653527115782102,0.5471839640289545,R50,A50
134,multigrate_batch-louvain,Embedding,9026.0,0.8358001697107422,0.9186898332594136,0.8196609098796275,0.8878016168001583,0.4369213576353539,0.437417147463663,0.3987980849158046,0.7281402118870078,0.6731187044153017,0.9876631177827082,0.995451267070265,0.5180333517491817,0.5981244675815105,R50,A50
