,method,Output,nCell,Batch_ASW_batch,Batch_ASW_site,graph_connectivity,graph_connectivity.l1,graph_iLISI,ARI,ARI.l1,AMI,AMI.l1,graph_cLISI,graph_cLISI.l1,isolated_labels_ASW,isolated_labels_ASW.l1
34,multivi-louvain,Embedding,6924.0,0.7940634173611237,0.852124130030187,0.9223581661100048,0.9423438565961224,0.2633080748215426,0.3406728759538858,0.3548302959151757,0.581227552634747,0.575307776132663,0.9564638964556542,0.947654228876277,0.6049966365098953,0.6268045157194138
35,scAI-louvain,Embedding,6924.0,0.8654111289098498,0.8504731764568331,0.9510302719938268,0.9736493895161968,0.1945282967062543,0.4694730322365988,0.4162504152269177,0.6814256559119204,0.6424385394437769,0.9773838241181432,0.9800144845749648,0.6631995588541031,0.5547776333987713
36,scDEC-louvain,Embedding,6924.0,0.9026588665910052,0.9386842455984026,0.884831858575696,0.9540273109864548,0.3624068631454327,0.3783723109112253,0.5360495098279162,0.5571368413566192,0.6197723422994743,0.9187645277002195,0.8997270928981181,0.442122284322977,0.5157445520162582
37,scMDC-louvain,Embedding,6924.0,0.890279005439254,0.9014411606631548,0.917684312262113,0.9387132819906034,0.2491710449218616,0.5638108373734888,0.5253217253126276,0.7247835732306674,0.6892598011935055,0.984090378478412,0.985602385364352,0.2590125203132629,0.5028352704830468
38,scMVAE-louvain,Embedding,6924.0,0.8780757099888838,0.867385979261438,0.986217153813736,0.986249715979041,0.201745259708934,0.3879263052495925,0.473784258356989,0.5874962280772738,0.6301235499143901,0.9529571534100344,0.9422225388500824,0.6777733713388443,0.61039649695158
39,scMVP-louvain,Embedding,6924.0,0.867367044678878,0.8642045113128496,0.9560577561375898,0.972663855469983,0.1897196225704834,0.5642264677821451,0.5084543863472787,0.7154881881512778,0.6941746056763627,0.9797348494929085,0.984286955857848,0.6175789311528206,0.5161854680627584
40,SeuratV4,Graph,6924.0,,,0.9827210433794308,0.9795136568566748,0.2582685055266187,0.5895644737476199,0.4847127748610804,0.7409670636334951,0.6775457400656647,0.9865799909322638,0.988653661733352,,
41,uniPort-louvain,Embedding,6924.0,0.8607641261442157,0.8988020772899828,0.8838699258892707,0.8784367387254485,0.3806725969531375,0.4656505760890705,0.5243895435637883,0.6539646684063116,0.6640474262058711,0.9594828768824496,0.9584527173926356,0.5307407155632973,0.4537478424608707
42,cobolt-louvain,Embedding,6924.0,0.7978613261187083,0.8532238745498385,0.8745071498900796,0.9272304397551152,0.2884679892068177,0.3705744563617914,0.4005783836965852,0.5772793803708735,0.5837858141928068,0.9533447389659092,0.9499232431205648,0.4527854733169079,0.6159518510103226
43,DCCA-louvain,Embedding,6924.0,0.8370641335812788,0.8426965028445074,0.934386354683358,0.9766346498680706,0.2284256161614926,0.4302505309770527,0.4832235509019735,0.6303328764080853,0.6341694538462574,0.9645491758380268,0.9710328272911906,0.6209971308708191,0.6142359748482704
44,MOFA2-louvain,Embedding,6924.0,0.8401746180196238,0.840249452407896,0.9038380084117472,0.9412583029865816,0.2588556325787103,0.3237679907368578,0.3863754050579429,0.5762218370563142,0.5936791138838992,0.9555238336430346,0.967902051005734,0.7130801230669022,0.5376284122467041
45,multigrate_batch-louvain,Embedding,6924.0,0.8387872990538713,0.9306779241363758,0.9210250570258524,0.9348027158131924,0.4443029298306327,0.5063265836542986,0.4541368259236495,0.6991753931447363,0.6673001659763556,0.9815211597994298,0.9841322434311044,0.4110868126153946,0.4446485601365566
46,multigrate-louvain,Embedding,6924.0,0.8242098282502668,0.9275149773287866,0.9239642083671592,0.9612144685599135,0.4402178897551616,0.4346066471156207,0.4274921493039039,0.663291877893211,0.6453625320242334,0.976337214408153,0.9808919509849924,0.3998587727546692,0.4577630050480366
47,multivi_batch-louvain,Embedding,6924.0,0.8207438147102883,0.8758112992059689,0.9298439456925388,0.9405145607043544,0.3090858299878643,0.3558108992089849,0.3744459538603342,0.6121454550759604,0.6052759837067502,0.9593400398392056,0.955579521531711,0.5274028219282627,0.600578673183918
48,multivi-louvain,Embedding,6924.0,0.7940634173611237,0.852124130030187,0.9223581661100048,0.9423438565961224,0.2633080748215426,0.3406728759538858,0.3548302959151757,0.581227552634747,0.575307776132663,0.9564638964556542,0.947654228876277,0.6049966365098953,0.6268045157194138
49,scAI-louvain,Embedding,6924.0,0.8654111289098498,0.8504731764568331,0.9510302719938268,0.9736493895161968,0.1945282967062543,0.4694730322365988,0.4162504152269177,0.6814256559119204,0.6424385394437769,0.9773838241181432,0.9800144845749648,0.6631995588541031,0.5547776333987713
50,scDEC-louvain,Embedding,6924.0,0.9134110940661244,0.9317217645049872,0.8933198609768739,0.9601801200275968,0.3507188838836065,0.2547930746406658,0.3343028334608227,0.4551219246399307,0.5052592349974891,0.8946542582934034,0.8553901348136301,0.4310272559523582,0.6164367347955704
51,scMDC-louvain,Embedding,6924.0,0.8856802941686414,0.908913208360165,0.9606071000434055,0.9396160271354894,0.2693981882048193,0.6050475881296784,0.5524460502195363,0.7412164665866298,0.7002776041038192,0.9834273129046304,0.9877797569800092,0.3758471384644508,0.4851169809699058
52,scMVAE-louvain,Embedding,6924.0,0.8739696385040039,0.8760554325553966,0.9760135639058682,0.98765256480623,0.2214302922887779,0.4815542294199431,0.5306959059285427,0.6407672499097309,0.6442272961577364,0.9571218360529572,0.9487370330412505,0.6960927098989487,0.6344734877347946
53,scMVP-louvain,Embedding,6924.0,0.8778451329023289,0.8489299646882682,0.973790461985146,0.975071128884218,0.189316252051083,0.4221916309479622,0.4384304296308996,0.6739895394092764,0.6649528733643584,0.9807764830410176,0.9861077947616974,0.5754172801971436,0.4933310141786933
54,SeuratV4,Graph,6924.0,,,0.9827210433794308,0.9795136568566748,0.2582685055266187,0.5895644737476199,0.4847127748610804,0.7409670636334951,0.6775457400656647,0.9865799909322638,0.988653661733352,,
55,uniPort-louvain,Embedding,6924.0,0.8607641261442157,0.8988020772899828,0.8838699258892707,0.8784367387254485,0.3806725969531375,0.4656505760890705,0.5243895435637883,0.6539646684063116,0.6640474262058711,0.9594828768824496,0.9584527173926356,0.5307407155632973,0.4537478424608707
56,cobolt-louvain,Embedding,6924.0,0.8216586093828425,0.8641713475192312,0.8596561547525137,0.8931791110502526,0.2970025908649418,0.3928369971246687,0.3980345135607146,0.5831124683835682,0.5799320924560016,0.9539492797927972,0.9517631517253922,0.4422142803668976,0.5901303663849831
57,DCCA-louvain,Embedding,6924.0,0.8321193706783274,0.8574124022625434,0.9428235025841436,0.964405830299834,0.2527535131088506,0.4760584804045654,0.4827335499682037,0.6557572260634953,0.6393448200734694,0.9716392837352382,0.9779591063914532,0.6356927752494812,0.6098435148596764
58,MOFA2-louvain,Embedding,6924.0,0.8401746180196238,0.840249452407896,0.9038380084117472,0.9412583029865816,0.2588556325787103,0.3237679907368578,0.3863754050579429,0.5762218370563142,0.5936791138838992,0.9555238336430346,0.967902051005734,0.7130801230669022,0.5376284122467041
59,multigrate_batch-louvain,Embedding,6924.0,0.8387872990538713,0.9306779241363758,0.9210250570258524,0.9348027158131924,0.4443029298306327,0.5063265836542986,0.4541368259236495,0.6991753931447363,0.6673001659763556,0.9815211597994298,0.9841322434311044,0.4110868126153946,0.4446485601365566
60,multigrate-louvain,Embedding,6924.0,0.8242098282502668,0.9275149773287866,0.9239642083671592,0.9612144685599135,0.4402178897551616,0.4346066471156207,0.4274921493039039,0.663291877893211,0.6453625320242334,0.976337214408153,0.9808919509849924,0.3998587727546692,0.4577630050480366
61,multivi_batch-louvain,Embedding,6924.0,0.8207438147102883,0.8758112992059689,0.9298439456925388,0.9405145607043544,0.3090858299878643,0.3558108992089849,0.3744459538603342,0.6121454550759604,0.6052759837067502,0.9593400398392056,0.955579521531711,0.5274028219282627,0.600578673183918
62,multivi-louvain,Embedding,6924.0,0.7940634173611237,0.852124130030187,0.9223581661100048,0.9423438565961224,0.2633080748215426,0.3406728759538858,0.3548302959151757,0.581227552634747,0.575307776132663,0.9564638964556542,0.947654228876277,0.6049966365098953,0.6268045157194138
63,scAI-louvain,Embedding,6924.0,0.8654111289098498,0.8504731764568331,0.9510302719938268,0.9736493895161968,0.1945282967062543,0.4694730322365988,0.4162504152269177,0.6814256559119204,0.6424385394437769,0.9773838241181432,0.9800144845749648,0.6631995588541031,0.5547776333987713
64,scDEC-louvain,Embedding,6924.0,0.9190704992907952,0.9176659460773828,0.8446385452673634,0.9326324532413856,0.3010895280400907,0.2500634714809095,0.3678365962448447,0.4691642117497225,0.5290531636841276,0.8953776573440334,0.8548415947856031,0.4023210778832435,0.6709431856870651
65,scMDC-louvain,Embedding,6924.0,0.8779987108393797,0.9109680269097667,0.9417849246158536,0.9837546919772864,0.2740580053116355,0.6114223947778944,0.5883620495344489,0.7335142148397354,0.7045900116205966,0.983133269366274,0.9848414217990784,0.3052798509597778,0.4910743162035942
66,scMVAE-louvain,Embedding,6924.0,0.8634443614691591,0.8611667873744484,0.96420107407132,0.9898562216832142,0.204105893756346,0.4451337264609509,0.5160677230348091,0.6239084639632608,0.6418358970616594,0.9648104334114276,0.961431533206258,0.7032252848148346,0.6261717081069946
67,scMVP-louvain,Embedding,6924.0,0.8628626512631101,0.8886052131732552,0.9497055459135786,0.944498260286788,0.2958296017442863,0.5785331270215804,0.6291115334958655,0.723494627480595,0.7166609219994639,0.9765252119809932,0.9809554469407024,0.5132796196267009,0.4857696732506156
68,SeuratV4,Graph,6924.0,,,0.9827210433794308,0.9795136568566748,0.2582685055266187,0.5895644737476199,0.4847127748610804,0.7409670636334951,0.6775457400656647,0.9865799909322638,0.988653661733352,,
69,uniPort-louvain,Embedding,6924.0,0.8607641261442157,0.8988020772899828,0.8838699258892707,0.8784367387254485,0.3806725969531375,0.4656505760890705,0.5243895435637883,0.6539646684063116,0.6640474262058711,0.9594828768824496,0.9584527173926356,0.5307407155632973,0.4537478424608707
