,method,Output,nCell,Batch_ASW_batch,Batch_ASW_site,graph_connectivity,graph_connectivity.l1,graph_iLISI,ARI,ARI.l1,AMI,AMI.l1,graph_cLISI,graph_cLISI.l1,isolated_labels_ASW,isolated_labels_ASW.l1,s1d1,s3d10
34,cobolt-louvain,Embedding,19786.0,0.8460204649072103,0.759174695367291,0.9717647393125048,0.9753081624025371,0.3078382912878732,0.517188804355551,0.5101279988906292,0.7271782319307989,0.7088947183182049,0.9842846500385112,0.9936833228739792,0.6382715106010437,0.6007493198331859,R100_A100,R50_A50
35,MIDAS-louvain,Embedding,19786.0,0.9303075250489594,0.9096112434077762,0.9827101973669649,0.9808352189687448,0.6463927147994406,0.5793230722650984,0.5130230360918961,0.7331736283260472,0.6855831478711069,0.9826931895962636,0.9890488941567182,0.6420019567012787,0.557318616606709,R100_A100,R50_A50
36,multigrate-louvain,Embedding,19786.0,0.6881224308211242,0.6819569140906155,0.643443959243996,0.6073347728690872,1.1102230246251563e-16,0.3334285586760484,0.3143061770936191,0.6147825791634379,0.603046491659618,0.9858122616245548,0.9949088636298744,0.7128670960664749,0.5785771063270254,R100_A100,R50_A50
37,multivi-louvain,Embedding,19786.0,0.9279855704218108,0.9254181047159802,0.9785965062237691,0.9798237353514596,0.6157473618173119,0.6206331942457051,0.5466609897490008,0.7793013326853141,0.725609100431797,0.9897555419204296,0.9958190558523804,0.7348589301109314,0.5841126708934704,R100_A100,R50_A50
38,scmomat-louvain,Embedding,19786.0,0.8631630365624007,0.8685009633248908,0.9258035977547838,0.9686576560816992,0.3254726687419051,0.4173590224195252,0.4056949170041301,0.6233438579130686,0.6143214487091934,0.9741771579246354,0.9878265420342218,0.4916175929829478,0.5539865787658427,R100_A100,R50_A50
39,cobolt-louvain,Embedding,19786.0,0.8376641175229872,0.7762291478420652,0.9797740541627832,0.9804404516666264,0.3694720774456246,0.5389908741339728,0.4848842743300772,0.752211851088947,0.7032894490248438,0.9858556354482918,0.9945547641441764,0.6164726689457893,0.606698677668141,R100_A100,R75_A75
40,MIDAS-louvain,Embedding,19786.0,0.936320721728558,0.9280568234190496,0.981096832438562,0.9812002143875695,0.7024722182062773,0.5706112654893537,0.5306308092012477,0.7220020075221458,0.6901864752334309,0.9832808153753884,0.9900543763544092,0.6274768263101578,0.5532865648468336,R100_A100,R75_A75
41,multigrate-louvain,Embedding,19786.0,0.5843783866834991,0.5829690374993061,0.6978340732307351,0.7633663284854997,1.1102230246251563e-16,0.3217729935437446,0.2876678212013172,0.6306973326772587,0.6032961261419484,0.9859006795339416,0.9961705948696118,0.678326740860939,0.56829703853388,R100_A100,R75_A75
42,multivi-louvain,Embedding,19786.0,0.9025661110935874,0.9116324507007488,0.9800555922263636,0.9792797031644856,0.5608553424718115,0.6172217552193168,0.5459147148985217,0.7778202925282796,0.7281883337138321,0.9910583701610252,0.9958576527580878,0.7379719018936157,0.594813442375097,R100_A100,R75_A75
43,scmomat-louvain,Embedding,19786.0,0.8349674563481687,0.8522521586374769,0.9349517749288532,0.9263766404019697,0.18310028191027,0.4198157720719606,0.4053752095193448,0.6263821192906173,0.6150494108483215,0.9726086232040674,0.9863730847209674,0.5783588662743568,0.5424712725087173,R100_A100,R75_A75
44,scmomat-louvain,Embedding,19786.0,0.8322202797369568,0.8420335494459575,0.9245248977784456,0.9702770021881074,0.1602343270541952,0.3516557642182685,0.3224417030861945,0.6020158954707954,0.5761114483874761,0.9763760561888504,0.9878442730155428,0.625255897641182,0.5417476289181246,R100_A100,R100_A100
45,SeuratV5,Embedding,19786.0,0.5117746546597015,0.1177290363926445,0.7661879674086162,0.8933950495936186,0.0973714965563149,0.3557312749448476,0.3025896271623734,0.6451373293363389,0.5952565582467433,0.9877621141414688,0.9933512434000722,0.8809456527233124,0.472816498329242,R10_A10,R100_A100
46,SeuratV5,Embedding,19786.0,0.5326574985818321,0.1107138319358491,0.8431238511407163,0.9087770877651744,0.1445400304828241,0.4134331699952639,0.3093200025794924,0.6869471396877843,0.6129624793196338,0.9931167958675592,0.9956788860543012,0.9349505603313446,0.4756464767787192,R25_A25,R100_A100
47,SeuratV5,Embedding,19786.0,0.5471768244497097,0.110651428299425,0.8249430215917055,0.8890291508724444,0.1408948080508273,0.4039444829183212,0.3068100161837504,0.6974047068444578,0.6186246234075632,0.9953266926593212,0.9979425617312287,0.8993557989597321,0.4802986619373162,R50_A50,R100_A100
